"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Vimeo QuickStart","Executive Pulse: 5 metrics to check daily.","","Video Library Growth","VIDEO LIBRARY GROWTH
Tracks the quantity of uploaded videos to Vimeo over time. Identify trends in video uploads and compare to other charts to determine best practices for stimulating overall video plays, likes, and comments.","2103949053","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Engagement: How engaging is your content?","","Video Comments, Plays, and Likes","VIDEO COMMENTS, PLAYS, AND LIKES
Displays videos - sized and ordered by their associated comments, plays, and likes. Use this information to track leading videos in specific metrics and identify best practices for engaging viewers.","932638839","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Executive Pulse: 5 metrics to check daily.","","Top 25 Plays per Like","TOP 25 PLAYS PER LIKE
Compares quantity of video views to likes. Decrease the amount of views required to generate likes by improving video quality and by identifying/applying best practices of highly successful videos.","1043504096","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Executive Pulse: 5 metrics to check daily.","","Video Uploads","VIDEO UPLOADS
Shows the uploaded videos to Vimeo over time. Identify correlations between video uploads and overall viewer engagement to determine which content provides the greatest impact on viewer plays, likes, and comments.","1999228710","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Executive Pulse: 5 metrics to check daily.","","Most Played Videos","MOST PLAYED VIDEOS
Displays top videos based on quantity of plays. Identify key videos to define best practices for increasing overall video plays.","898299627","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Engagement: How engaging is your content?","","New Followers","NEW FOLLOWERS
Displays new followers based on when their account was created. Identify trends in new followers and compare with video uploads, plays, and likes to help identify best practices.","835266112","My Followers","85d6f6bd-408f-4701-9835-e81f82ce9ca3"
"Vimeo QuickStart","Audience Engagement: How engaging is your content?","","Followers","FOLLOWERS
Displays all followers in table format. Use this to access, filter, and group all follower data to view underlying causes for increases and decreases in fan-base and overall video plays and engagement.","1196659947","My Followers","85d6f6bd-408f-4701-9835-e81f82ce9ca3"
"Vimeo QuickStart","Executive Pulse: 5 metrics to check daily.","","Top 15 Liked Videos","TOP 15 LIKED VIDEOS
Displays the leading videos based on quantity of likes. Identify successful qualities of leading videos and implement findings to improve viewer satisfaction and engagement.","416421274","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Retention/Satisfaction: What content is most popular?","","Top 25 Played Videos","TOP 25 PLAYED VIDEOS
Organizes videos based on their number of plays. Improve viewer satisfaction by pinpointing leading videos and identifying practices for increasing content quality.","1697986251","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Engagement: How engaging is your content?","","Comments Versus Likes","COMMENTS VERSUS LIKES
Measures viewer comments and likes per video. Compare trends/correlations in comments and likes and take action to increase overall viewer activity (limited to top 25 commented videos).","802167892","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Retention/Satisfaction: What content is most popular?","","Top 15 Engaging Videos","TOP 15 ENGAGING VIDEOS
Shows the most engaging videos based on views and comments. Pinpoint key videos to gain insight into viewer satisfaction and overall video engagement.","1733714267","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Retention/Satisfaction: What content is most popular?","","Likes and Average Plays by Video Duration","LIKES AND AVERAGE PLAYS 
BY VIDEO DURATION
Measures video engagement based on video duration. Visualize and compare likes and average plays in each duration category and determine best practices for increasing engagement.","238315349","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Retention/Satisfaction: What content is most popular?","","Plays by Duration","PLAYS BY DURATION
Shows plays for video duration categories. Identify trends and causes in video plays and identify best practices for increasing plays based on video duration.","1856918948","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Engagement: How engaging is your content?","","Videos by Plays","VIDEOS BY PLAYS
Displays all videos ordered by number of plays. Identify successful qualities of leading videos to establish strategies for increasing overall views and viewer engagement.","1503304967","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
"Vimeo QuickStart","Audience Retention/Satisfaction: What content is most popular?","","Engagement by Duration","ENGAGEMENT BY DURATION
Displays comparative metrics in comments and likes for video duration categories. Analyze trends and determine causes of video engagement to identify best practices for increasing views and comments based on video duration.","552246902","My Videos","06eda790-9414-4f6c-8ef7-c0f992e45b51"
