"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Twitter Ads QuickStart (2)","Reach: How many people are seeing my ads? Who are they?","","Top 10 States by Reach","TOP 10 STATES BY REACH
Shows the top 10 states based on the amount of impressions in the selected period. Identify states with high amounts of impressions and take action to increase reach in target regions.","1055682141","Account Stats by State","009e3c8a-994b-4796-8f73-facb17a9f6b0"
"Twitter Ads QuickStart (2)","Reach: How many people are seeing my ads? Who are they?","","Trending Reach by Gender","REACH BY GENDER
Displays reach, divided out by gender, over time. Use this information to identify trends and increase reach in targeted demographics.","1565885228","Account Stats by Gender","949268e9-73fb-4048-9e34-467a591b753b"
"Twitter Ads QuickStart (2)","Executive Pulse: 5 metrics to check daily.","","Reach Calendar","REACH CALENDAR
Tracks all social posts by date. Use this information to help identify correlations in post trends and desired outcomes.","1391370685","Account Stats by Hour","bc699651-4aac-46a4-88b7-7b06a227f150"
"Twitter Ads QuickStart (2)","Executive Pulse: 5 metrics to check daily.","","Overall Engagement Rate","OVERALL ENGAGEMENT RATE
Displays the total engagement rate in the selected time period. Based on engagement rate goals, determine performance and take action to improve overall engagement.","1119998506","Account Stats by Hour","bc699651-4aac-46a4-88b7-7b06a227f150"
"Twitter Ads QuickStart (2)","Optimize: What practices are generating the most reach and engagement?","","Top Engaging Days","TOP ENGAGING DAYS
Displays a heat map of average engagement, broken down by day and hour. Identify days and hours with high engagement and adjust practices to increase overall social engagements.","670443471","Account Stats by Hour","bc699651-4aac-46a4-88b7-7b06a227f150"
"Twitter Ads QuickStart (2)","Engagement: Who is interacting with my ads? How am I generating results?","","United States Engagement","UNITED STATES ENGAGEMENT
Displays engagement based on US location. Identify highly receptive states and focus efforts on increasing engagement in target locations.","1235514293","Account Stats by State","009e3c8a-994b-4796-8f73-facb17a9f6b0"
"Twitter Ads QuickStart (2)","Engagement: Who is interacting with my ads? How am I generating results?","","Promoted Engagement Rate","PROMOTED ENGAGEMENT RATE
Shows ad engagement rates over time. Identify trends in audience response and adjust ad content accordingly to increase engagement rates.","2052445015","Account Stats by Hour","bc699651-4aac-46a4-88b7-7b06a227f150"
"Twitter Ads QuickStart (2)","Executive Pulse: 5 metrics to check daily.","","Engagements by Gender","ENGAGEMENTS BY GENDER
Displays the total number of engagements in the selected period by gender. Use this information to understand how well the business is reaching its target audience and to take action to increase engagement.","1493286288","Account Stats by Gender","949268e9-73fb-4048-9e34-467a591b753b"
"Twitter Ads QuickStart (2)","Optimize: What practices are generating the most reach and engagement?","","Top Reaching Days","TOP REACHING DAYS
Displays a heat map of average reach, broken down by day and hour. Identify days and hours with high reach and adjust practices to increase overall social reach.","612084971","Account Stats by Hour","bc699651-4aac-46a4-88b7-7b06a227f150"
"Twitter Ads QuickStart (2)","Executive Pulse: 5 metrics to check daily.","","Best Times to Post","BEST TIMES TO POST
Displays total impressions, total engagements, and average engagement rate by hour. Use this information to determine the best times to reach your audience and what content is most effective.","1563254562","Account Stats by Hour","bc699651-4aac-46a4-88b7-7b06a227f150"
"Twitter Ads QuickStart (2)","Reach: How many people are seeing my ads? Who are they?","","United States Reach","UNITED STATES REACH
Shows impressions based on US location. Identify regions with a high reach and adjust content to increase reach in target states.","672458005","Account Stats by State","009e3c8a-994b-4796-8f73-facb17a9f6b0"
"Twitter Ads QuickStart (2)","Engagement: Who is interacting with my ads? How am I generating results?","","Top 10 States by Engagement Rate","TOP 10 STATES BY ENGAGEMENT RATE
Displays (clockwise) top 10 states, ordered by engagement rate. Identify states with high engagement and adjust content to increase engagement rates in target regions.","1351646652","Account Stats by State","009e3c8a-994b-4796-8f73-facb17a9f6b0"
"Twitter Ads QuickStart (2)","Optimize: What practices are generating the most reach and engagement?","","Click Trend","CLICK TREND
Shows the amount of paid clicks over time. Identify trends in high engagement and adjust content to increase overall clicks.","1569729256","Account Stats by Hour","bc699651-4aac-46a4-88b7-7b06a227f150"
"Twitter Ads QuickStart (2)","Engagement: Who is interacting with my ads? How am I generating results?","","Promoted Engagement","PROMOTED ENGAGEMENT
Tracks engagement over time, broken down by engagement type. Find trends in audience response and adjust ad content to increase target engagement types and overall engagement.","2001918973","Account Stats by Hour","bc699651-4aac-46a4-88b7-7b06a227f150"
"Twitter Ads QuickStart (2)","Engagement: Who is interacting with my ads? How am I generating results?","","Trending Engagement by Gender","TRENDING ENGAGEMENT BY GENDER
Displays engagement, divided out by gender, over time. Use this information to identify trends and increase engagement in targeted demographics.","1637097804","Account Stats by Gender","949268e9-73fb-4048-9e34-467a591b753b"
"Twitter Ads QuickStart (2)","Optimize: What practices are generating the most reach and engagement?","","Engagement Rate by Gender","ENGAGEMENT RATE BY GENDER
Depicts average engagement rate in period, broken down by gender. Identify which gender yields higher engagement rates, and adjust content to increase engagement rates in target demographics.","395296693","Account Stats by Gender","949268e9-73fb-4048-9e34-467a591b753b"
