"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Strava QuickStart (1)","Strava Pulse: Recent activity at a glance","","Elevation Last 30 Days","ELEVATION LAST 30 DAYS
Shows the total elevation you have gained for all your sessions during the period. Monitor performance to help you achieve your fitness goals.","609106573","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Distance and Speed: How far and fast am I going?","","Miles Trend","MILES TREND
Shows the total number of miles recorded for all sessions during the period. Monitor performance to help you reach your fitness goals. ","182887101","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Strava Pulse: Recent activity at a glance","","Miles Last 30 Days","MILES LAST 30 DAYS
Shows the total number of miles recorded for all sessions during the period. Set goals to see steady growth in the number of miles recorded to reach your fitness goals.","1849241465","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Strava Pulse: Recent activity at a glance","","Kilojoules Last 30 Days","KILOJOULES LAST 30 DAYS
Shows the total number of kilojoules you are burning from all your different workout sessions. Strive to burn your desired number of kilojoules each workout and track it here.","1205836190","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Strava Pulse: Recent activity at a glance","","New Sessions Last 30 Days","NEW SESSIONS LAST 30 DAYS
Measures the percent change in the number of new sessions or activities performed over the last 30 days against the previous 30 days. Use this information to gauge overall activity for recent months.","1027882684","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Distance and Speed: How far and fast am I going?","","Longest Sessions","LONGEST SESSIONS
Ranks your top 50 sessions based on the number of miles recorded. Monitor performance to help you reach your fitness goals.","1823701535","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Power and Stamina: How much energy am I exerting?","","Top Climbs","TOP CLIMBS
Shows your top 10 climbs during the period, broken down by elevation gained and average watts exerted during the ride. Set goals to improve times on your top climbs.","1805104001","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Challenge and Compare: How do I measure up?","","Fastest Friends","FASTEST FRIENDS
Ranks all your friends on Strava by their average and max miles per hour during the period. ","375472918","Friend Activities","b250d1bc-3f8a-4039-a662-b60512fe987a"
"Strava QuickStart (1)","Power and Stamina: How much energy am I exerting?","","Kilojoules","KILOJOULES
Shows the total number of kilojoules you are burning from all your different workout sessions. Strive to burn your desired number of kilojoules each workout and track it here.","495160139","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Strava Pulse: Recent activity at a glance","","Hours Last 30 Days","HOURS LAST 30 DAYS
Tracks the total number of hours recorded for all sessions during the period. Monitor your performance in the average hours you work out per session to achieve your fitness goals.","1883219025","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Distance and Speed: How far and fast am I going?","","Hours Trend","HOURS TREND
Tracks the total number of hours recorded for all sessions during the period. Monitor performance to help you reach your fitness goals.","1113638149","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Strava Pulse: Recent activity at a glance","","Activity Breakdown","ACTIVITY BREAKDOWN
Shows the average distance and speed recorded for all sessions during the period. Identify what sessions may have room for improvement in regards to distance and average speed.","405355901","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Challenge and Compare: How do I measure up?","","Friend Activity","FRIEND ACTIVITY
Shows which of your friends are most active during the period. Consider riding with friends that are most active to increase your motivation. ","1153614885","Friend Activities","b250d1bc-3f8a-4039-a662-b60512fe987a"
"Strava QuickStart (1)","Power and Stamina: How much energy am I exerting?","","Toughest Rides","TOUGHEST RIDES
Compares the average elevation gained to the elevation gained per watt for each session in the period. Find sessions where you can afford to exert more energy. 

Elevation Gained Per Watt = Total Elevation / Avg Watts","816782681","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Challenge and Compare: How do I measure up?","","Kudos and Achievements","KUDOS AND ACHIEVMENTS
Shows the total number of kudos and achievements earned during the period. Challenge yourself to receive as many kudos as possible by riding popular segments that many riders monitor.","124626560","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Challenge and Compare: How do I measure up?","","My Locations","MY LOCATIONS
Shows where you ride, hike, run or perform other activities. Explore new routes to find different training terrain and different elevations to improve performance. ","1180002174","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Challenge and Compare: How do I measure up?","","Most Common Sessions","MOST COMMON SESSIONS
Shows what sessions or activities you do the most. Consider diversifying your training routes and activities to add variety to your exercises.  ","1297234225","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Power and Stamina: How much energy am I exerting?","","Avg Kilojoules by Session","AVERAGE KILOJOULES BY SESSION
Ranks your sessions by the average number of kilojoules burned during the period. Monitor performance against your goals and use your previous performances as a benchmark.","2038670329","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Distance and Speed: How far and fast am I going?","","Average Speed","AVERAGE SPEED
Shows your average speed (in miles per hour) recorded for all sessions during the period. Monitor performance to help you reach your fitness goals.","1359341744","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
"Strava QuickStart (1)","Power and Stamina: How much energy am I exerting?","","Elevation Gained","ELEVATION GAINED
Shows the total elevation you have gained for all your sessions during the period. Monitor performance to help you reach your fitness goals.","862232890","My Activities","aaa9afe9-6f28-4685-832c-e1b8bdb1f0fe"
