"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Meetup QuickStart (2)","Specific Group Activity: Quick insight into upcoming events and activity","","Comments Trend","COMMENTS TREND
Shows the total number of people who have made comments on the group home page. Identify the reasons for spikes in comments so you don't miss out on important details pertaining to group events.","2097937829","Comments","4fc627b5-d49a-4b9e-a3f8-0b641be58b28"
"Meetup QuickStart (2)","Meetup Pulse: Your different group activities at a glance.","","Recent RSVPs","RECENT RSVPs
Shows your groups that have recently received RSVP confirmations. Keep track of group events and plan accordingly. ","25739241","Activity Feed","97d6bff3-f08b-44de-9507-885166c1e3f2"
"Meetup QuickStart (2)","Specific Group Demographics: Where do group members live and what are their interests?","","Members","MEMBERS
Shows the total number of members for your group broken down by state. Consider finding ways to grow your group network to multiple states.","1612610701","Members","0d68d525-1ad5-4505-97d0-c59636991d08"
"Meetup QuickStart (2)","Specific Group Activity: Quick insight into upcoming events and activity","","New Members Trend","NEW MEMBERS TREND
Shows the number of people who have joined your group over time. Consider finding ways to promote your group to increase membership.","547063120","Members","0d68d525-1ad5-4505-97d0-c59636991d08"
"Meetup QuickStart (2)","Specific Group Demographics: Where do group members live and what are their interests?","","Members' Hometown","MEMBERS' HOMETOWN
Shows the hometown of all your group members. Find ways to diversify your group members. ","1520503393","Members","0d68d525-1ad5-4505-97d0-c59636991d08"
"Meetup QuickStart (2)","Specific Group Demographics: Where do group members live and what are their interests?","","Member Bios / Interests","MEMBER BIOS / INTERESTS
Shows the biographies for all your group members. Increase engagement and learn about your group demographics by becoming familiar with member interests and bios.","1513939530","Profiles","9390a892-66b8-4474-9a97-656fcb0efae0"
"Meetup QuickStart (2)","Meetup Pulse: Your different group activities at a glance.","","Activity for All Your Groups","ACTIVITY FOR ALL YOUR GROUPS
Shows who has joined, RSVP'd, uploaded a photo or commented on photos for all your groups. Consider welcoming new members who have joined your various groups.","939784143","Activity Feed","97d6bff3-f08b-44de-9507-885166c1e3f2"
"Meetup QuickStart (2)","Specific Group Activity: Quick insight into upcoming events and activity","","Group Photos","GROUP PHOTOS
Shows all the photos that have been posted for your group. Share or take down photos as needed.","724176713","Photos","4f624251-55a4-4386-9059-9701c2465488"
"Meetup QuickStart (2)","Specific Group Demographics: Where do group members live and what are their interests?","","Member List","MEMBER LIST
Provides a list of all your members. Consider reaching out and welcoming new members to your group.","1225242561","Members","0d68d525-1ad5-4505-97d0-c59636991d08"
"Meetup QuickStart (2)","Meetup Pulse: Your different group activities at a glance.","","New Members","NEW MEMBERS
Shows the number of new members joining all your groups. Identify the reason(s) for spikes in new members for certain groups. ","95109592","Activity Feed","97d6bff3-f08b-44de-9507-885166c1e3f2"
"Meetup QuickStart (2)","Specific Group Activity: Quick insight into upcoming events and activity","","Scheduled Events","SCHEDULED EVENTS
Shows the number of events for the group you specified when installing the QuickStart. Use this information to help plan your schedule.","1730896451","Events","655b0565-53ae-4142-b75d-a71c4f1c1953"
"Meetup QuickStart (2)","Meetup Pulse: Your different group activities at a glance.","","Confirmed RSVPs","CONFIRMED RSVPs
Shows the number of people who have RSVP'd to group events in which you are also a member. Increase your Meet Up network by attending events that are likely to draw big crowds.","1060178771","Activity Feed","97d6bff3-f08b-44de-9507-885166c1e3f2"
"Meetup QuickStart (2)","Specific Group Activity: Quick insight into upcoming events and activity","","People Commenting","PEOPLE COMMENTING
Shows the individuals who have made comments on content related to your group. Reach out to group members as needed.","1787995573","Comments","4fc627b5-d49a-4b9e-a3f8-0b641be58b28"
