"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"CNN QuickStart (1)","Trends: Popularity of stories over time.","","Top Stories","TOP STORIES
CNN's self described ""Top Stories"" by the day they were published.","1347049838","Top Stories","9d6c4744-337a-414b-b65a-7ff0bf92f21c"
"CNN QuickStart (1)","Executive Pulse: New and popular articles.","","Entertainment Articles","ENTERTAINMENT ARTICLES
CNN's Entertainment stories grouped by the day they were published. ","171655761","Entertainment","c40d6ec9-57c7-4fe8-9947-42db7f3e3a92"
"CNN QuickStart (1)","Executive Pulse: New and popular articles.","","New World Articles","NEW WORLD ARTICLES
Happy face appears if articles have been published in the last three hours. Use this to stay on top of current events.","2051275665","World","c896ae68-58ce-4696-8cc4-73fa84a39053"
"CNN QuickStart (1)","Trends: Popularity of stories over time.","","Tech News by Day","TECH NEWS BY DAY
Technology news grouped by the date published.","1477520225","Tech","5cb36d85-8250-4d74-8f99-d683b53ccc50"
"CNN QuickStart (1)","Executive Pulse: New and popular articles.","","10 Most Popular Articles","10 MOST POPULAR ARTICLES
Most popular articles, as determined by CNN.","229871391","MostPopular","4c39a65c-33cd-489a-a840-018abff40aa8"
"CNN QuickStart (1)","Executive Pulse: New and popular articles.","","New Technology Articles","NEW TECHNOLOGY ARTICLES
Happy face appears if articles have been published in the last three hours. Use this to stay on top of current events.","1239043190","Tech","5cb36d85-8250-4d74-8f99-d683b53ccc50"
"CNN QuickStart (1)","Lists and Links: Links to CNN for the full story.","","Business Articles","BUSINESS ARTICLES
Headlines, links and publication dates available in table form.","1674362028","Business","fb298dbf-43c3-4869-8b52-b6041ee45033"
"CNN QuickStart (1)","Executive Pulse: New and popular articles.","","New Political Articles","NEW POLITICAL ARTICLES
Happy face appears if articles have been published in the last three hours. Use this to stay on top of current events.","885879510","Politics","d6fd2264-82c7-4d07-ab82-d0cd0bc72d3b"
"CNN QuickStart (1)","Trends: Popularity of stories over time.","","World News Stories","WORLD NEWS STORIES
Number of world news stories by the day the story was published.","1701466955","World","c896ae68-58ce-4696-8cc4-73fa84a39053"
"CNN QuickStart (1)","Trends: Popularity of stories over time.","","Political News by Hour","POLITICAL NEWS BY HOUR
Number of political news stories by the hour the story was published.","1091009565","Politics","d6fd2264-82c7-4d07-ab82-d0cd0bc72d3b"
"CNN QuickStart (1)","Executive Pulse: New and popular articles.","","New Entertainment Articles","NEW ENTERTAINMENT ARTICLES
Happy face appears if articles have been published in the last three hours. Use this to stay on top of current events.","1504810057","Entertainment","c40d6ec9-57c7-4fe8-9947-42db7f3e3a92"
"CNN QuickStart (1)","Lists and Links: Links to CNN for the full story.","","Entertainment Articles","ENTERTAINMENT ARTICLES
Headlines, links and publication dates available in table form.","1677924766","Entertainment","c40d6ec9-57c7-4fe8-9947-42db7f3e3a92"
"CNN QuickStart (1)","Executive Pulse: New and popular articles.","","New Business Articles","NEW BUSINESS ARTICLES
Happy face appears if articles have been published in the last three hours. Use this to stay on top of current events.","1689790160","Business","fb298dbf-43c3-4869-8b52-b6041ee45033"
"CNN QuickStart (1)","Lists and Links: Links to CNN for the full story.","","World Articles","WORLD ARTICLES
Headlines, links and publication dates available in table form.","941727460","World","c896ae68-58ce-4696-8cc4-73fa84a39053"
"CNN QuickStart (1)","Lists and Links: Links to CNN for the full story.","","Most Popular Stories","MOST POPULAR STORIES
Links to popular news stories. Use these links to stay up on current events.","891031304","MostPopular","4c39a65c-33cd-489a-a840-018abff40aa8"
"CNN QuickStart (1)","Lists and Links: Links to CNN for the full story.","","Technology Articles","TECHNOLOGY ARTICLES
Headlines, links and publication dates available in table form.","524878754","Tech","5cb36d85-8250-4d74-8f99-d683b53ccc50"
"CNN QuickStart (1)","Trends: Popularity of stories over time.","","Top Daily Stories","TOP DAILY STORIES
Number of CNN's Top Stories grouped by the day the story was published.","2023221088","Top Stories","9d6c4744-337a-414b-b65a-7ff0bf92f21c"
"CNN QuickStart (1)","Executive Pulse: New and popular articles.","","Top Stories","TOP STORIES
Headlines, links and publication dates available in table form.","1991920965","Top Stories","9d6c4744-337a-414b-b65a-7ff0bf92f21c"
"CNN QuickStart (1)","Trends: Popularity of stories over time.","","Business News by Hour","BUSINESS NEWS BY HOUR
Articles from CNN's Money page by the hour they were published.","1801873584","Business","fb298dbf-43c3-4869-8b52-b6041ee45033"
"CNN QuickStart (1)","Lists and Links: Links to CNN for the full story.","","Politics Articles","POLITICS ARTICLES
Headlines, links and publication dates available in table form.","990158578","Politics","d6fd2264-82c7-4d07-ab82-d0cd0bc72d3b"
