"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Google+ QuickStart (1)","Reach: How many people are you potentially reaching?","","Followers","FOLLOWERS
Shows you the total number of people that have you in one of their circles. Optimize and fill out all parts of your profile so people can easily recognize your personal brand and add you to their circles. ","1765852715","User Information","139fdc0e-fcc2-4837-b0a7-e75a83a7ffe7"
"Google+ QuickStart (1)","Reach: How many people are you potentially reaching?","","People in Your Circles","PEOPLE IN YOUR CIRCLES
Shows the total number of people you have in your circles over time. Assess whether you are growing your audience base at the rate you desire. ","1699343566","In Your Circle","01a04961-2958-4e2c-be5e-e2d27633e7a1"
"Google+ QuickStart (1)","Reach: How many people are you potentially reaching?","","People Details","PEOPLE DETAILS
Provides a quick view of all people currently in one of your circles. ","1795999667","List of People","42177f98-25b3-43bf-9b22-9e02949e84dd"
"Google+ QuickStart (1)","Executive Pulse: 4 metrics you should not overlook","","+1s Last 30 Days","+1S LAST 30 DAYS
Shows the total number of +1s acquired during the period. Find what posts performed best and post similar content to other social platforms to increase reach. ","310294061","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Engagement: How engaging is your content?","","Replies","REPLIES
Shows the total number of replies on posts during the period. Create compelling content to increase replies and engagement on posts.","607751593","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Executive Pulse: 4 metrics you should not overlook","","Best Days to Post","BEST DAYS TO POST
Shows which days have yielded the most +1s, replies and shares per post during the period. Post on days that are most likely to yield the most reach and engagement.","1396527913","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Content Optimization: When is the optimal time to post?","","Top Posts","TOP POSTS
Shows all posts ranked by the number of +1's received. Identify elements of best performing posts that can be replicated in future posts. ","1246477061","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Executive Pulse: 4 metrics you should not overlook","","Replies Last 30 Days","REPLIES LAST 30 DAYS
Shows the total number of replies on posts during the period. Create compelling content to increase replies and engagement on posts.","840903199","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Content Optimization: When is the optimal time to post?","","Best Times to Post","BEST TIMES TO POST
Highlights the distribution of social engagements for all posts, broken down by hour of the day. Post during optimal times of the day that yield the most engagement and reach.

Note: Period currently refers to UTC Timezone, but can be modified.","1755797144","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Executive Pulse: 4 metrics you should not overlook","","Engagements Per Post","ENGAGEMENTS PER POST
Shows the total number of engagements acquired per post during the period. Find what posts performed best and share content to other online sources to increase exposure and reach.","29394716","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Engagement: How engaging is your content?","","+1s Trend","+1S TREND
Shows the total number of +1s acquired during the period. Find what posts performed best and post similar content to other social platforms to increase reach. ","1603762900","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Engagement: How engaging is your content?","","Engagements Trend","ENGAGEMENTS TREND
Shows the total number of engagements on all posts during the period. Recognize periods of high growth and identify root causes at the post content level. ","624881845","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
"Google+ QuickStart (1)","Engagement: How engaging is your content?","","Shares","SHARES
Shows the total number of shares during the period. Identify which posts were shared the most and consider replicating effective content elements in future posts.  ","1285439201","List of Activities","2ea4b74b-8487-416f-871f-4bbc09234878"
