"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Open Exchange Rates Quickstart (1)","Executive Pulse: Exchange Rate Overview Metrics","","Daily USD Exchange Rates","DAILY USD EXCHANGE RATES
Compares all foreign currencies to 1 United States Dollar.  Monitor the United States Dollar's performance compared to other currencies to determine if money should be moved to other markets.","688511086","USD","ec73c485-9280-427f-8fce-33e92f9fe773"
"Open Exchange Rates Quickstart (1)","BRICS Nations Exchange Rates","","Daily ZAR Exchange Rates","DAILY ZAR EXCHANGE RATES
Compares all foreign currencies to 1 South African Rand.  Monitor the South African Rand's performance compared to other currencies to determine if money should be moved to other markets.","1665996989","ZAR","fa14aab5-6970-4d83-95e9-9450cd8740bd"
"Open Exchange Rates Quickstart (1)","BRICS Nations Exchange Rates","","Daily RUB Exchange Rates","DAILY RUB EXCHANGE RATES
Compares all foreign currencies to 1 Russian Ruble.  Monitor the Russian Ruble's performance compared to other currencies to determine if money should be moved to other markets.","474404779","RUB","d9c69164-6aa6-4696-b2a3-8669b8b54b23"
"Open Exchange Rates Quickstart (1)","BRICS Nations Exchange Rates","","Daily BRL Exchange Rates","DAILY BRL EXCHANGE RATES
Compares all foreign currencies to 1 Brazilian Real.  Monitor the Brazilian Real's performance compared to other currencies to determine if money should be moved to other markets.","2001241711","BRL","8a0389a4-d15a-4b03-9dcb-4bfcb0110caa"
"Open Exchange Rates Quickstart (1)","Executive Pulse: Exchange Rate Overview Metrics","","Exchange Rate Comparisons","EXCHANGE RATE COMPARISONS
Displays the 25 currencies with the highest exchange rates compared to the United States Dollar. Use this information to analyze investment options and risk. ","1746654537","USD","ec73c485-9280-427f-8fce-33e92f9fe773"
"Open Exchange Rates Quickstart (1)","World Currency Exchange Rates","","Daily JPY Exchange Rates","DAILY JPY EXCHANGE RATES
Compares all foreign currencies to 1 Japanese Yen. Monitor the Japanese Yen's performance compared to other currencies to determine if money should be moved to other markets.","1866529531","JPY","afa0d0e7-41eb-464f-805a-3b6d464edf12"
"Open Exchange Rates Quickstart (1)","Executive Pulse: Exchange Rate Overview Metrics","","Daily USD Comparisons","DAILY USD COMPARISONS
Shows the three popular currencies compared to the United States Dollar. Determine what markets may be best to put cash into.","288517221","USD","ec73c485-9280-427f-8fce-33e92f9fe773"
"Open Exchange Rates Quickstart (1)","Executive Pulse: Exchange Rate Overview Metrics","","USD Comparisons","USD COMPARISONS
Shows the exchange value of 1 United States Dollar in currencies that have an exchange value less than 1. Use analyzer or filters to focus on the currencies you are interested in.","393415247","USD","ec73c485-9280-427f-8fce-33e92f9fe773"
"Open Exchange Rates Quickstart (1)","BRICS Nations Exchange Rates","","Daily CNY Exchange Rates","DAILY CNY EXCHANGE RATES
Compares all foreign currencies to 1 Chinese Yuan.  Monitor the Chinese Yuan's performance compared to other currencies to determine if money should be moved to other markets.","1878202683","CNY","1b06f332-ba00-45c0-8b36-04a209d9c1f7"
"Open Exchange Rates Quickstart (1)","BRICS Nations Exchange Rates","","Daily INR Exchange Rates","DAILY INR EXCHANGE RATES
Compares all foreign currencies to 1 Indian Rupee. Monitor the Indian Rupee's performance compared to other currencies to determine if money should be moved to other markets.","614319883","INR","19e9ad2e-af78-4783-ae38-5a64a041d998"
"Open Exchange Rates Quickstart (1)","Executive Pulse: Exchange Rate Overview Metrics","","USD Versus BRICS","USD VERSUS BRICS
Displays the exchange rates of the BRICS nations compared to the United States Dollar.  Monitor foreign currencies to determine if funds should be moved to foreign markets to achieve better financial returns.","1390976820","USD","ec73c485-9280-427f-8fce-33e92f9fe773"
"Open Exchange Rates Quickstart (1)","World Currency Exchange Rates","","Daily EUR Exchange Rates","DAILY EUR EXCHANGE RATES
Compares all foreign currencies to 1 Euro. Monitor the Euro's performance compared to other currencies to determine if money should be moved to other markets.","546512294","Euro","cfdbf76c-d752-464f-9bca-44f601a12ec7"
"Open Exchange Rates Quickstart (1)","Executive Pulse: Exchange Rate Overview Metrics","","USD Exchange Rates","USD EXCHANGE RATES
Displays which currencies have the highest exchange rates compared to the United States Dollar.","1772729644","USD","ec73c485-9280-427f-8fce-33e92f9fe773"
"Open Exchange Rates Quickstart (1)","World Currency Exchange Rates","","Daily GBP Exchange Rates","DAILY GBP EXCHANGE RATES
Compares all foreign currencies to 1 British Pound.  Monitor the British Pound's performance compared to other currencies to determine if money should be moved to other markets.","953492438","GBP","d10976aa-be99-49cd-8999-1681a7785dcc"
