"connector","collection","collection_description","card","card_description","card_id","data_name","dataset_id"
"Webtrends QuickStart (1)","Site Performance: Are we realizing value from our users?","","Exit Pages","EXIT PAGES
Ranks the Top 20 exit pages. Identify what pages cause exits most frequently and make page improvements to help increase user engagement. ","1686399849","Exit Pages","006f910e-4a8f-42f8-915f-f3982ffeac0d"
"Webtrends QuickStart (1)","Traffic Attribution: From what sources are we receiving traffic?","","Organic Search Keywords","ORGANIC SEARCH KEYWORDS
Displays the most used organic search keywords in the period. Continue to increase your search rankings for these keywords through SEO.","1016748698","Search Phrases: Organic","881b476b-e70e-4d34-814c-dbc0f0aa9f09"
"Webtrends QuickStart (1)","Site Performance: Are we realizing value from our users?","","Conversions by Campaign","CONVERSIONS BY CAMPAIGN
Shows the number of conversions generated by campaigns. Adjust spending to focus on creating the most effective campaigns.","317953008","Campaign IDs with Conversions","e56f85e8-3aac-46e8-9078-f789323f270b"
"Webtrends QuickStart (1)","Traffic Attribution: From what sources are we receiving traffic?","","World Visitors","WORLD VISITORS
Reveals which countries are responsible for generating the most visits to your site. Focus your resources on areas of strength and areas with growth opportunities. ","538706289","Geo: Countries","4a0140a2-5a16-4562-bad6-f848e0627168"
"Webtrends QuickStart (1)","Traffic Attribution: From what sources are we receiving traffic?","","Paid Search Keywords","PAID SEARCH KEYWORDS
Displays the most effective paid search keywords in the period. Continue to invest in the top performing keywords. Consider adjusting your investments in keywords that are not performing effectively. ","1514679342","Search Phrases: Paid","e3dc8798-6194-4138-a82f-b6db24441de0"
"Webtrends QuickStart (1)","Executive Pulse: 5 cards you need to check daily.","","Top Bounced Pages","TOP BOUNCED PAGES
Tracks the percentage of visitors who bounce out of the site from the entry page rather than continuing to view other pages within the same site (20 highest bounce rates displayed). Optimize your site to provide the best user experience. ","302298287","Entry Pages with Bounce Rate","1a018928-b9bd-4396-a8e9-97c49de68570"
"Webtrends QuickStart (1)","Executive Pulse: 5 cards you need to check daily.","","Conversions by Traffic Source","CONVERSIONS BY TRAFFIC SOURCE
Shows the number of conversions generated by traffic sources. Adjust efforts to focus on the most effective traffic sources.","1587134022","Traffic Source Conversions","a32c4009-e595-4394-b64d-124d2576d463"
"Webtrends QuickStart (1)","Executive Pulse: 5 cards you need to check daily.","","Visit Sources","VISIT SOURCES
Reveals the sources of visitors. Identify which sources generate the most visits and invest in the most promising opportunities.","1668314326","Conversions by Source","e9cab5d8-eb8d-475c-8eef-10db200c080a"
"Webtrends QuickStart (1)","Traffic Attribution: From what sources are we receiving traffic?","","Top Mobile Visits","TOP MOBILE VISITS
Displays the Top 20 devices that contribute to your mobile site traffic. Focus your efforts on creating a positive user experience across strategic device types.","1132850788","Mobile Device Conversions","bc50b14c-a1f4-499a-b166-e40e4018aac6"
"Webtrends QuickStart (1)","Executive Pulse: 5 cards you need to check daily.","","US Visitors","US VISITORS
Reveals which states are responsible for generating the most visits to your site. Use this information to gauge which areas have the greatest opportunities. 
","1859119498","Geo: NA States + Provinces","b74e5a3b-d5c9-4acf-9da1-f546fde06289"
"Webtrends QuickStart (1)","Traffic Attribution: From what sources are we receiving traffic?","","Referring Domains","REFERRING DOMAINS
Displays what web domain website visitors originated from before entering the company's website. Consider reallocating advertising budgets to focus more heavily on pages that have historically led visitors to the company's web page.","616760948","Referring Domains","9f9867e2-1586-4ea3-8a77-85470fc848c0"
"Webtrends QuickStart (1)","Site Performance: Are we realizing value from our users?","","Average Visit Duration","AVERAGE VISIT DURATION
Shows the daily average number of minutes visitors spend on your site in one session. Compare duration over other time periods shown to identify factors that could help increase visitor engagement.","1720520638","New vs. Returning Visitors","7b9d07d5-b186-4fed-9865-ca4ae349c35d"
"Webtrends QuickStart (1)","Executive Pulse: 5 cards you need to check daily.","","Traffic Trend (Log Scale)","TRAFFIC TREND (LOG SCALE)
Three important measures of traffic volume displayed in one chart: Page Views, Visits and New Visitors. Identify patterns in the performance of each metric to see if anything requires immediate attention. ","515983127","New vs. Returning Visitors","7b9d07d5-b186-4fed-9865-ca4ae349c35d"
"Webtrends QuickStart (1)","Traffic Trends: How is traffic volume changing?","","Visitors","VISITORS
Measures the number of new visitors to your site compared to returning visitors. Identify trends in visitor type to determine where to focus your efforts. ","1882450976","New vs. Returning Visitors","7b9d07d5-b186-4fed-9865-ca4ae349c35d"
"Webtrends QuickStart (1)","Traffic Trends: How is traffic volume changing?","","Visits","VISITS
Shows the number of visits per day over different time periods. Monitor trends and analyze daily site visitors to determine what drives traffic to the site and how to improve future performance. The summary number compares the metric for the last 28 days with the same 28 day period 52 weeks ago.","413481025","New vs. Returning Visitors","7b9d07d5-b186-4fed-9865-ca4ae349c35d"
"Webtrends QuickStart (1)","Traffic Trends: How is traffic volume changing?","","Page Views","PAGE VIEWS
Tracks the total number of times a site page is loaded. Identify the factors contributing to different page views and optimize content to maximize site traffic. The summary number compares the metric for the last 28 days with the same 28 day period 52 weeks ago.","487172977","New vs. Returning Visitors","7b9d07d5-b186-4fed-9865-ca4ae349c35d"
